IMU_MODE,IMU_STATUS1,IMU_STATUS2,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,VN,VE,VD,ROLL,PITCH,HEADING,LAT,LON,ALT,IMU_MODE_cnt,IMU_Bit
0,5,-32747,-0.000846637094020844,0.0978992205619812,0.00275997869968414,5.68106770515442E-08,3.3604446798563E-06,-6.78468495607376E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000824813389778137,0.0979010100603104,0.00276280374526978,1.18091702461243E-06,9.29692760109901E-07,1.13947317004204E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000859404301643372,0.0979220207691193,0.00277246885299683,1.11572444438934E-06,-5.40167093276978E-07,1.97393819689751E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000765723609924316,0.0978640709996224,0.0027611686706543,-1.77044421434402E-06,1.85798853635788E-07,-1.22189521789551E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000892818868160248,0.0979229518532753,0.00277176032066345,6.95697963237762E-07,-3.2549723982811E-07,-2.87662260234356E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000823868680000305,0.0978938929438591,0.00277778284549713,8.10250639915466E-07,-1.82283110916615E-06,-4.48431819677353E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.00090802960395813,0.097947241795063,0.00277784188985825,-1.39884650707245E-06,1.09663233160973E-06,6.40866346657276E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000727621829509735,0.0978945242643356,0.00275909757614136,2.95229256153107E-07,3.038439899683E-07,-3.1949020922184E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000857296872138977,0.0978453266859055,0.0028143721818924,-8.44709575176239E-07,1.07265077531338E-06,2.0728912204504E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000794932401180267,0.0978824428796768,0.00277939975261688,-1.71363353729248E-06,2.698739990592E-06,2.3494940251112E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
